User_U,User_V,Utility,Social
0,1,0.486,0.1682
1,0,0.656,0.4543
0,2,0.7456,0.4148
2,0,0.2518,0.2817
0,3,0.6408,0.3307
3,0,0.9833,0.9521
0,4,0.1157,0.9071
4,0,0.6425,0.151
0,5,0.4429,0.7287
5,0,0.3404,0.0065
0,6,0.5258,0.1495
6,0,0.2675,0.6489
0,7,0.5265,0.4123
7,0,0.9467,0.8897
0,8,0.2114,0.4342
8,0,0.6684,0.9089
0,9,0.3525,0.0642
9,0,0.4534,0.7283
0,10,0.1798,0.6384
10,0,0.1323,0.1172
0,11,0.0791,0.8979
11,0,0.4014,0.0928
0,12,0.1326,0.415
12,0,0.4045,0.8502
0,13,0.8143,0.7644
13,0,0.5655,0.6372
0,14,0.3043,0.1516
14,0,0.2248,0.6656
0,15,0.7777,0.942
15,0,0.3378,0.0565
0,16,0.9213,0.278
16,0,0.4193,0.9999
0,17,0.709,0.2819
17,0,0.8493,0.2073
0,18,0.6274,0.4664
18,0,0.8123,0.7104
0,19,0.1896,0.6272
19,0,0.4621,0.3978
0,20,0.5336,0.658
20,0,0.338,0.9478
0,21,0.85,0.9371
21,0,0.9739,0.7284
0,22,0.9911,0.6266
22,0,0.162,0.3165
0,23,0.7643,0.8098
23,0,0.5442,0.6123
0,24,0.094,0.0642
24,0,0.2884,0.8911
0,25,0.3893,0.1439
25,0,0.4914,0.7164
0,26,0.968,0.3453
26,0,0.8576,0.6875
0,27,0.5193,0.2081
27,0,0.1161,0.3748
0,28,0.6424,0.0322
28,0,0.6468,0.3572
0,29,0.2746,0.2777
29,0,0.2653,0.9867
0,30,0.7477,0.4872
30,0,0.6066,0.5357
0,31,0.8126,0.5869
31,0,0.3686,0.096
0,32,0.0566,0.9894
32,0,0.634,0.8863
0,33,0.6549,0.7366
33,0,0.1189,0.2576
0,34,0.957,0.5205
34,0,0.6662,0.7621
0,35,0.1829,0.1547
35,0,0.2293,0.7564
0,36,0.4128,0.9538
36,0,0.2736,0.3247
0,37,0.2684,0.6424
37,0,0.5144,0.2723
0,38,0.5915,0.6316
38,0,0.7532,0.8343
0,39,0.8016,0.8437
39,0,0.4536,0.7844
0,40,0.3081,0.4189
40,0,0.15,0.1946
0,41,0.912,0.9804
41,0,0.8863,0.2331
0,42,0.7703,0.1108
42,0,0.735,0.9115
0,43,0.486,0.5604
43,0,0.0242,0.1785
0,44,0.4546,0.5701
44,0,0.3103,0.8891
0,45,0.9319,0.0437
45,0,0.0883,0.8959
0,46,0.6528,0.2585
46,0,0.6189,0.1442
0,47,0.6699,0.8008
47,0,0.883,0.6015
0,48,0.5111,0.274
48,0,0.6931,0.0715
0,49,0.3963,0.9649
49,0,0.5792,0.4426
0,50,0.3621,0.624
50,0,0.4025,0.4007
0,51,0.5352,0.215
51,0,0.9475,0.0176
0,52,0.837,0.5954
52,0,0.1636,0.0172
0,53,0.5163,0.8331
53,0,0.749,0.4981
0,54,0.4677,0.0098
54,0,0.7426,0.8463
0,55,0.9513,0.107
55,0,0.962,0.2044
0,56,0.3937,0.3962
56,0,0.6333,0.2589
0,57,0.863,0.2731
57,0,0.0714,0.2274
0,58,0.9522,0.5551
58,0,0.3394,0.7463
0,59,0.5035,0.9114
59,0,0.6436,0.6663
0,60,0.464,0.6396
60,0,0.7255,0.2704
0,61,0.9065,0.3798
61,0,0.3085,0.2207
0,62,0.3491,0.6305
62,0,0.451,0.4772
0,63,0.6853,0.2303
63,0,0.5615,0.1414
0,64,0.7012,0.2047
64,0,0.6232,0.4949
0,65,0.517,0.7547
65,0,0.4487,0.2908
0,66,0.0226,0.034
66,0,0.9237,0.0122
0,67,0.4704,0.9848
67,0,0.4284,0.6444
0,68,0.2661,0.7071
68,0,0.8098,0.655
0,69,0.9436,0.9543
69,0,0.6287,0.3515
0,70,0.5202,0.4111
70,0,0.9518,0.9802
0,71,0.8543,0.0666
71,0,0.2837,0.991
0,72,0.7758,0.1133
72,0,0.4392,0.254
0,73,0.0074,0.404
73,0,0.1576,0.2162
0,74,0.0015,0.3357
74,0,0.2538,0.1662
0,75,0.4009,0.0318
75,0,0.8557,0.5907
0,76,0.1684,0.0476
76,0,0.4285,0.4519
0,77,0.3607,0.269
77,0,0.7987,0.7738
0,78,0.5453,0.1749
78,0,0.9947,0.2251
0,79,0.0361,0.5593
79,0,0.0874,0.5765
0,80,0.1707,0.019
80,0,0.9837,0.6932
0,81,0.2096,0.2738
81,0,0.6584,0.8423
0,82,0.6631,0.1291
82,0,0.7592,0.7975
0,83,0.0254,0.9001
83,0,0.9563,0.9703
0,84,0.7343,0.2173
84,0,0.9161,0.3421
0,85,0.6867,0.9158
85,0,0.4786,0.3263
0,86,0.4327,0.2689
86,0,0.8645,0.8615
0,87,0.4082,0.8639
87,0,0.732,0.0114
0,88,0.4281,0.0831
88,0,0.7881,0.2497
0,89,0.0498,0.7647
89,0,0.793,0.3283
0,90,0.1101,0.2329
90,0,0.0704,0.9372
0,91,0.7154,0.6262
91,0,0.3104,0.4277
0,92,0.2949,0.1764
92,0,0.9439,0.1369
0,93,0.0682,0.3719
93,0,0.3634,0.4619
0,94,0.898,0.3534
94,0,0.9952,0.1614
0,95,0.9402,0.82
95,0,0.8348,0.2097
0,96,0.7827,0.2689
96,0,0.2965,0.4647
0,97,0.731,0.7355
97,0,0.0853,0.5466
0,98,0.6216,0.2209
98,0,0.6745,0.4476
0,99,0.9904,0.9464
99,0,0.0901,0.6862
0,100,0.9342,0.4617
100,0,0.7988,0.3422
0,101,0.513,0.2441
101,0,0.9432,0.0035
0,102,0.1193,0.8769
102,0,0.5566,0.7585
0,103,0.3628,0.8145
103,0,0.1467,0.7609
0,104,0.69,0.2589
104,0,0.1392,0.1877
0,105,0.9534,0.7138
105,0,0.8078,0.8125
0,106,0.1303,0.9116
106,0,0.0957,0.4327
0,107,0.4963,0.1661
107,0,0.1998,0.7322
0,108,0.9251,0.2409
108,0,0.5089,0.0185
0,109,0.8578,0.7217
109,0,0.7836,0.2278
0,110,0.7586,0.0789
110,0,0.1958,0.628
0,111,0.0483,0.7893
111,0,0.8654,0.8505
0,112,0.1209,0.5313
112,0,0.8714,0.978
0,113,0.5143,0.031
113,0,0.4121,0.5564
0,114,0.331,0.7613
114,0,0.3708,0.953
0,115,0.2518,0.0517
115,0,0.6236,0.0663
0,116,0.6332,0.1154
116,0,0.0601,0.2825
0,117,0.4865,0.7547
117,0,0.2088,0.3597
0,118,0.3789,0.5511
118,0,0.1788,0.4879
0,119,0.1678,0.4172
119,0,0.2796,0.9096
0,120,0.1171,0.0461
120,0,0.9245,0.6356
0,121,0.6273,0.7962
121,0,0.7176,0.4122
0,122,0.1921,0.5775
122,0,0.7598,0.5616
0,123,0.958,0.2454
123,0,0.8253,0.7909
0,124,0.4436,0.703
124,0,0.366,0.9733
0,125,0.3005,0.9181
125,0,0.0442,0.2457
0,126,0.3111,0.8913
126,0,0.3947,0.8485
0,127,0.6971,0.8802
127,0,0.9573,0.532
0,128,0.7955,0.6185
128,0,0.6857,0.2334
0,129,0.8166,0.5027
129,0,0.9181,0.1923
0,130,0.1062,0.0209
130,0,0.0246,0.8766
0,131,0.9802,0.2431
131,0,0.922,0.7659
0,132,0.1927,0.8545
132,0,0.7503,0.1483
0,133,0.963,0.1447
133,0,0.791,0.9456
0,134,0.222,0.5347
134,0,0.1438,0.1367
0,135,0.7663,0.76
135,0,0.3977,0.5974
0,136,0.0261,0.8199
136,0,0.0182,0.9363
0,137,0.1692,0.8732
137,0,0.4374,0.2009
0,138,0.5466,0.2056
138,0,0.269,0.122
0,139,0.9168,0.9261
139,0,0.8411,0.2533
0,140,0.0838,0.6051
140,0,0.2177,0.8666
0,141,0.744,0.8495
141,0,0.0697,0.7327
0,142,0.643,0.6925
142,0,0.2732,0.9801
0,143,0.5488,0.8425
143,0,0.3962,0.7043
0,144,0.5081,0.3196
144,0,0.6466,0.2675
0,145,0.0806,0.0535
145,0,0.4515,0.6865
0,146,0.6517,0.4177
146,0,0.9557,0.6145
0,147,0.485,0.891
147,0,0.2161,0.6836
0,148,0.7331,0.1931
148,0,0.2682,0.4893
0,149,0.4939,0.8585
149,0,0.1899,0.8262
0,150,0.5655,0.8006
150,0,0.4775,0.6037
0,151,0.076,0.8661
151,0,0.3819,0.3342
0,152,0.9036,0.4978
152,0,0.2513,0.3385
0,153,0.6066,0.404
153,0,0.3507,0.0498
0,154,0.1503,0.7696
154,0,0.9479,0.8891
0,155,0.6643,0.1763
155,0,0.2855,0.1119
0,156,0.2596,0.4557
156,0,0.3051,0.7044
0,157,0.4419,0.0591
157,0,0.2794,0.2229
0,158,0.0875,0.3733
158,0,0.332,0.3549
0,159,0.7221,0.0377
159,0,0.6941,0.9591
0,160,0.6968,0.2901
160,0,0.4886,0.2545
0,161,0.6295,0.4061
161,0,0.9726,0.5665
0,162,0.4584,0.5792
162,0,0.7445,0.6009
0,163,0.6666,0.6441
163,0,0.4998,0.2302
0,164,0.9016,0.7326
164,0,0.5722,0.2241
0,165,0.5874,0.6664
165,0,0.3269,0.5946
0,166,0.0984,0.2453
166,0,0.7846,0.4969
0,167,0.8781,0.2809
167,0,0.4369,0.4279
0,168,0.4866,0.9595
168,0,0.7651,0.7079
0,169,0.4591,0.7688
169,0,0.9639,0.0413
0,170,0.2721,0.809
170,0,0.807,0.3821
0,171,0.5227,0.6196
171,0,0.5638,0.7154
0,172,0.9714,0.5408
172,0,0.051,0.0677
0,173,0.3719,0.1786
173,0,0.2242,0.6284
0,174,0.4927,0.4422
174,0,0.1987,0.5026
0,175,0.0411,0.6515
175,0,0.9679,0.0584
0,176,0.6849,0.1854
176,0,0.9932,0.8991
0,177,0.2219,0.5162
177,0,0.7078,0.6377
0,178,0.9179,0.3315
178,0,0.4125,0.8399
0,179,0.4462,0.428
179,0,0.4778,0.7883
0,180,0.4888,0.0597
180,0,0.1456,0.4565
0,181,0.1756,0.9007
181,0,0.023,0.0691
0,182,0.141,0.1242
182,0,0.4623,0.7114
0,183,0.5238,0.3701
183,0,0.4754,0.7915
0,184,0.5665,0.1624
184,0,0.4391,0.1584
0,185,0.3976,0.628
185,0,0.1686,0.5219
0,186,0.974,0.2658
186,0,0.267,0.3323
0,187,0.1979,0.8501
187,0,0.7524,0.5784
0,188,0.0274,0.1716
188,0,0.3237,0.6199
0,189,0.3843,0.2172
189,0,0.8625,0.6369
0,190,0.8551,0.3105
190,0,0.5084,0.0389
0,191,0.1866,0.6485
191,0,0.9621,0.6725
0,192,0.2754,0.9169
192,0,0.1126,0.9385
0,193,0.4188,0.0865
193,0,0.7553,0.9449
0,194,0.8262,0.6264
194,0,0.8793,0.6552
0,195,0.2714,0.8708
195,0,0.4106,0.6901
0,196,0.8865,0.605
196,0,0.3961,0.7514
0,197,0.0421,0.23
197,0,0.4103,0.0617
0,198,0.2206,0.2596
198,0,0.5992,0.5262
0,199,0.5681,0.7417
199,0,0.5183,0.555
0,200,0.6687,0.9887
200,0,0.2162,0.0728
0,201,0.996,0.5361
201,0,0.2225,0.4339
0,202,0.7738,0.1531
202,0,0.6372,0.8906
0,203,0.6926,0.111
203,0,0.4689,0.9647
0,204,0.5852,0.7014
204,0,0.2609,0.6119
0,205,0.8777,0.2407
205,0,0.9567,0.2441
0,206,0.6899,0.2716
206,0,0.6115,0.6561
0,207,0.6707,0.8494
207,0,0.2812,0.5962
0,208,0.216,0.1171
208,0,0.5656,0.6903
0,209,0.6347,0.867
209,0,0.5894,0.3398
0,210,0.9421,0.5431
210,0,0.2024,0.7678
0,211,0.6822,0.9836
211,0,0.5491,0.2978
0,212,0.2444,0.5017
212,0,0.697,0.6012
0,213,0.5359,0.885
213,0,0.6674,0.9011
0,214,0.0799,0.6684
214,0,0.0383,0.5359
0,215,0.7636,0.6525
215,0,0.4143,0.2839
0,216,0.3526,0.2837
216,0,0.9697,0.4932
0,217,0.0572,0.5739
217,0,0.2293,0.4218
0,218,0.5576,0.0179
218,0,0.4182,0.7404
0,219,0.5233,0.9676
219,0,0.3493,0.9375
0,220,0.5537,0.8032
220,0,0.9748,0.5279
0,221,0.941,0.4504
221,0,0.2352,0.5938
0,222,0.5353,0.7661
222,0,0.8824,0.2537
0,223,0.58,0.1978
223,0,0.7736,0.1958
0,224,0.5177,0.9751
224,0,0.7054,0.7976
0,225,0.3429,0.2499
225,0,0.1661,0.3594
0,226,0.8347,0.7925
226,0,0.6875,0.893
0,227,0.838,0.8813
227,0,0.1108,0.9741
0,228,0.3113,0.7296
228,0,0.3136,0.7435
0,229,0.5062,0.248
229,0,0.2945,0.6582
0,230,0.2261,0.6605
230,0,0.6316,0.4862
0,231,0.0405,0.6819
231,0,0.4823,0.5395
0,232,0.0873,0.2313
232,0,0.4353,0.6879
0,233,0.7534,0.2255
233,0,0.7505,0.9354
0,234,0.4584,0.6363
234,0,0.1954,0.6599
0,235,0.2604,0.1464
235,0,0.892,0.6347
0,236,0.4511,0.7538
236,0,0.5561,0.9436
0,237,0.2475,0.7883
237,0,0.4777,0.7882
0,238,0.7191,0.2345
238,0,0.78,0.2805
0,239,0.5287,0.2917
239,0,0.846,0.58
0,240,0.0451,0.1917
240,0,0.6294,0.5268
0,241,0.2483,0.9303
241,0,0.2433,0.1403
0,242,0.8967,0.2591
242,0,0.0014,0.6355
0,243,0.4324,0.9472
243,0,0.7107,0.3125
0,244,0.5064,0.3147
244,0,0.2689,0.3647
0,245,0.912,0.0735
245,0,0.2476,0.8528
0,246,0.0459,0.5546
246,0,0.6451,0.9754
0,247,0.4441,0.3131
247,0,0.3995,0.1032
0,248,0.3499,0.7347
248,0,0.2905,0.4782
0,249,0.7946,0.3072
249,0,0.9451,0.0966
0,250,0.8201,0.3446
250,0,0.7066,0.2331
0,251,0.5879,0.7536
251,0,0.7196,0.8186
0,252,0.3578,0.1224
252,0,0.4666,0.3025
0,253,0.6828,0.3389
253,0,0.2148,0.5952
0,254,0.7611,0.3013
254,0,0.6388,0.826
0,255,0.7362,0.6975
255,0,0.6868,0.434
0,256,0.4821,0.1121
256,0,0.0177,0.6504
0,257,0.7255,0.1254
